id,buildingSubtype,buildingType,isNewConstruction,price,rawPrice,reducedPrice,country,regionLevel1,regionLevel2,province,municipality,district,neighborhood,zipCode,latitude,longitude,accuracy,bathrooms,conservationState,floor,air_conditioner,heating,elevator,balcony,rooms,surface,heater,terrace,parking,swimming_pool
161299731,Flat,Flat,False,2.100.000 €,2100000,580.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41358,-3.690883,0,5.0,,8.0,1.0,,1.0,,3.0,214.0,1.0,,,
162971905,Flat,Flat,False,1.600.000 €,1600000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41525,-3.691068,0,4.0,1.0,9.0,1.0,,,,3.0,166.0,,1.0,,
162971670,Flat,Flat,False,278.000 €,278000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.40892,-3.666807,0,1.0,3.0,8.0,,,1.0,,1.0,51.0,1.0,1.0,,1.0
162964594,Flat,Flat,False,350.000 €,350000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40386,-3.679942,1,1.0,3.0,6.0,,,1.0,,5.0,83.0,1.0,,,
156427651,Flat,Flat,False,2.650.000 €,2650000,300.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41999,-3.679873,0,3.0,1.0,10.0,1.0,,1.0,,3.0,335.0,1.0,1.0,,
162960462,Flat,Flat,False,650.000 €,650000,45.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.41782,-3.668453,0,2.0,,6.0,1.0,,1.0,,3.0,94.0,1.0,,,
162882405,Apartment,Flat,False,175.000 €,175000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Adelfas,28007,40.40278,-3.668995,0,1.0,3.0,3.0,1.0,,1.0,,1.0,37.0,1.0,,,
162951931,Flat,Flat,False,269.000 €,269000,16.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28007,40.41346,-3.670624,0,1.0,,,,,,,1.0,46.0,,,,
157440268,Flat,Flat,False,990.000 €,990000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41765,-3.675893,0,2.0,3.0,8.0,,,1.0,1.0,4.0,205.0,1.0,,,
162941081,Flat,Flat,False,795.000 €,795000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41718,-3.674659,0,2.0,1.0,11.0,,,1.0,,2.0,95.0,,1.0,,
162937347,Flat,Flat,False,250.000 €,250000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Adelfas,28007,40.39812,-3.672641,1,1.0,2.0,,1.0,,1.0,,1.0,63.0,1.0,,1.0,1.0
162933705,GroundFloorWithGarden,Flat,False,445.000 €,445000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41945,-3.67829,1,2.0,2.0,,,,,,1.0,89.0,1.0,,,
162926791,Flat,Flat,False,189.500 €,189500,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Adelfas,28007,40.39971,-3.670999,0,1.0,,6.0,1.0,,1.0,,1.0,48.0,1.0,,,
162925286,Flat,Flat,False,985.000 €,985000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28009,40.41257,-3.6725,1,3.0,2.0,,1.0,,1.0,,4.0,195.0,1.0,1.0,,
162719687,Flat,Flat,False,1.399.859 €,1399859,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.40788,-3.689551,0,2.0,2.0,9.0,,,1.0,1.0,5.0,230.0,,,,
161122204,Flat,Flat,False,630.000 €,630000,95.700 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40262,-3.678651,0,1.0,2.0,6.0,,,1.0,1.0,3.0,185.0,,,,
162905910,Flat,Flat,False,590.000 €,590000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.40738,-3.681616,0,2.0,3.0,10.0,,,1.0,,5.0,166.0,1.0,1.0,,
162541087,Flat,Flat,False,525.000 €,525000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28014,40.40593,-3.680951,1,2.0,3.0,,1.0,,1.0,,4.0,105.0,1.0,,,
162894527,Flat,Flat,False,195.000 €,195000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40277,-3.675229,1,1.0,,,1.0,,1.0,,3.0,67.0,1.0,,,
160496512,Flat,Flat,False,630.000 €,630000,95.700 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40279,-3.679443,0,1.0,,6.0,,,,,3.0,185.0,,,,
162874099,Flat,Flat,False,846.500 €,846500,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28007,40.40968,-3.67101,0,3.0,1.0,7.0,1.0,,1.0,,3.0,179.0,1.0,1.0,1.0,
162873259,Flat,Flat,False,4.260.000 €,4260000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41931,-3.690643,0,5.0,4.0,3.0,1.0,,1.0,1.0,7.0,355.0,1.0,,,
162871094,Flat,Flat,False,549.999 €,549999,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Adelfas,28007,40.39922,-3.674008,0,2.0,,7.0,1.0,1.0,1.0,,3.0,104.0,,,,
147721049,Flat,Flat,False,480.000 €,480000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40343,-3.678703,1,2.0,3.0,6.0,,1.0,1.0,,4.0,110.0,,,,
162864339,Flat,Flat,False,340.000 €,340000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28009,40.41572,-3.675883,0,1.0,4.0,3.0,1.0,,1.0,,2.0,72.0,,,,
162834581,Flat,Flat,False,850.000 €,850000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41943,-3.67612,1,2.0,4.0,,,,1.0,1.0,5.0,169.0,1.0,,,
162620208,Flat,Flat,False,595.000 €,595000,55.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40509,-3.682405,0,3.0,,6.0,,,,,4.0,195.0,,,,
162817981,Flat,Flat,False,779.000 €,779000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28007,40.41116,-3.671531,0,2.0,2.0,3.0,,,1.0,,3.0,155.0,1.0,1.0,,
162807166,Flat,Flat,False,196.000 €,196000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41689,-3.677258,0,1.0,3.0,4.0,,,1.0,,2.0,44.0,1.0,,,
162805167,Flat,Flat,False,1.590.000 €,1590000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28001,40.41996,-3.688029,0,2.0,1.0,9.0,1.0,,1.0,,3.0,153.0,1.0,1.0,,
158116770,Flat,Flat,False,444.000 €,444000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41525,-3.672739,0,1.0,2.0,9.0,1.0,,1.0,,2.0,46.0,,,,
162585356,Flat,Flat,False,680.000 €,680000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28009,40.41171,-3.670503,0,2.0,2.0,6.0,1.0,,1.0,,2.0,87.0,1.0,,1.0,
161847602,Flat,Flat,False,689.000 €,689000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.4179,-3.67797,1,2.0,,8.0,,,1.0,,2.0,97.0,,,,
162222887,Flat,Flat,False,489.000 €,489000,30.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41666,-3.676,0,2.0,,3.0,1.0,,1.0,,2.0,93.0,1.0,,,
161974706,Flat,Flat,False,605.000 €,605000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.4008,-3.675837,0,2.0,3.0,9.0,1.0,,1.0,,4.0,132.0,,,1.0,
162346856,Flat,Flat,False,2.500.000 €,2500000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41499,-3.689748,0,3.0,,7.0,1.0,,1.0,1.0,4.0,255.0,1.0,1.0,,
157105833,Flat,Flat,False,990.000 €,990000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41735,-3.676497,0,2.0,3.0,8.0,,,1.0,1.0,4.0,205.0,1.0,,,
157126923,Flat,Flat,False,645.000 €,645000,45.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41395,-3.690773,0,2.0,4.0,7.0,,,1.0,,3.0,100.0,1.0,,,
158096900,Flat,Flat,False,990.000 €,990000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41663,-3.676732,0,2.0,3.0,8.0,,,1.0,1.0,4.0,205.0,1.0,,,
160516919,Attic,Flat,False,740.000 €,740000,50.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40146,-3.67611,0,2.0,1.0,10.0,1.0,,1.0,,4.0,225.0,1.0,1.0,,
157676112,Flat,Flat,False,2.200.000 €,2200000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.4157,-3.692981,0,3.0,3.0,4.0,1.0,,1.0,1.0,4.0,224.0,1.0,,,
161758195,Flat,Flat,False,537.000 €,537000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28009,40.41504,-3.67283,0,2.0,,,,,1.0,,3.0,115.0,1.0,,,
161736179,Flat,Flat,False,420.000 €,420000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.4096,-3.691191,0,1.0,,,,,,,3.0,75.0,,1.0,,
157721782,Flat,Flat,False,3.000.000 €,3000000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41371,-3.691722,0,3.0,2.0,9.0,1.0,,,,3.0,245.0,1.0,,,
158389281,Flat,Flat,False,265.000 €,265000,12.500 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41921,-3.67597,1,1.0,3.0,6.0,1.0,,1.0,,2.0,49.0,1.0,,,
155626725,Flat,Flat,False,3.050.000 €,3050000,50.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41451,-3.690445,0,4.0,2.0,9.0,1.0,,1.0,,3.0,250.0,1.0,,,
158430475,Flat,Flat,False,1.200.000 €,1200000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41698,-3.69171,0,3.0,3.0,4.0,1.0,,1.0,,3.0,158.0,,,,
158235287,Flat,Flat,False,990.000 €,990000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41623,-3.677223,0,2.0,3.0,8.0,,,1.0,1.0,4.0,205.0,1.0,,,
158281933,Flat,Flat,False,820.000 €,820000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28009,40.41069,-3.669311,0,2.0,2.0,6.0,1.0,,1.0,,2.0,179.0,1.0,,1.0,
160179785,Flat,Flat,False,699.000 €,699000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41801,-3.673449,0,2.0,1.0,8.0,1.0,,1.0,,2.0,113.0,1.0,1.0,,
157874317,Flat,Flat,False,2.400.000 €,2400000,200.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.42203,-3.679188,0,3.0,2.0,,1.0,,1.0,,4.0,283.0,1.0,1.0,,
156947200,Flat,Flat,False,430.500 €,430500,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40682,-3.673391,1,2.0,,11.0,,,1.0,,2.0,104.0,1.0,,,
162384311,Flat,Flat,False,1.490.000 €,1490000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28007,40.40963,-3.671778,0,2.0,2.0,10.0,,1.0,1.0,,3.0,198.0,,,,
160539768,Flat,Flat,False,1.500.000 €,1500000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41389,-3.694627,0,3.0,1.0,4.0,1.0,1.0,1.0,,3.0,194.0,,,,
161003251,Flat,Flat,False,279.000 €,279000,26.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.40647,-3.667305,0,1.0,,7.0,,,,,3.0,72.0,,,,
159607958,Flat,Flat,False,650.000 €,650000,65.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41804,-3.673448,0,2.0,1.0,8.0,1.0,,1.0,,2.0,113.0,1.0,1.0,,
162542940,Flat,Flat,False,574.999 €,574999,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40611,-3.675411,0,2.0,,8.0,,,1.0,,5.0,160.0,1.0,,,
