id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito
4201,3900000,0,EXTERIOR,5,376.0,False,True,NUEVA ESPANA,55,CHAMARTIN,5
4202,505000,7,EXTERIOR,3,136.0,True,True,CASTILLA,56,CHAMARTIN,5
4203,590000,2,INTERIOR,3,120.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4204,570000,8,EXTERIOR,3,117.0,True,False,CASTILLA,56,CHAMARTIN,5
4205,720000,12,EXTERIOR,5,170.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4206,398000,4,EXTERIOR,1,87.0,True,True,CASTILLA,56,CHAMARTIN,5
4207,2090000,3,EXTERIOR,4,332.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4208,850000,4,EXTERIOR,4,130.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4209,1350000,1,EXTERIOR,4,252.0,True,False,EL VISO,51,CHAMARTIN,5
4210,342000,4,EXTERIOR,2,73.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4211,1400000,4,EXTERIOR,4,240.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4212,1295000,4,EXTERIOR,5,230.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4213,549500,4,EXTERIOR,2,90.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4214,595000,3,EXTERIOR,3,115.0,True,True,PROSPERIDAD,52,CHAMARTIN,5
4215,1375000,12,EXTERIOR,3,266.0,True,True,PROSPERIDAD,52,CHAMARTIN,5
4216,2300000,3,EXTERIOR,4,258.0,True,True,EL VISO,51,CHAMARTIN,5
4217,1600000,3,EXTERIOR,4,351.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4218,3500000,5,EXTERIOR,5,505.0,True,True,EL VISO,51,CHAMARTIN,5
4219,370000,2,INTERIOR,2,80.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4220,890000,8,EXTERIOR,3,137.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4221,791000,0,EXTERIOR,1,165.0,True,False,EL VISO,51,CHAMARTIN,5
4222,1501500,5,EXTERIOR,4,261.0,True,False,EL VISO,51,CHAMARTIN,5
