id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,geometry
1519,AUTOESCUELA,AUTOESCUELA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,PLAZA                    CASTILLA                                          ,7,0.0,0.0,POINT (-7.488743884387038 0)
1520,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CASTILLEJOS         ,3,TETUAN              ,6,CALLE                    ORENSE                                            ,52,441136.6,4478833.5,POINT (-3.6942510853783244 40.458084043427114)
1521,AUTOESCUELA,AUTOESCUELA,PRIVADO,BERRUGUETE          ,6,TETUAN              ,6,CALLE                    LOPE DE HARO                                      ,23,440304.62,4478676.5,POINT (-3.704048223542523 40.456610375382034)
1522,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    CASTILLA                                          ,5,440294.62,4478260.5,POINT (-3.7041270336386294 40.45286215803354)
1523,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,PLAZA                    CARLOS TRIAS BERTRAN                              ,7,441191.6,4478003.5,POINT (-3.693525564366311 40.45061093889908)
1524,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    AVIADOR ZORITA                                    ,13,440760.6,4477773.5,POINT (-3.698586520942125 40.448508395776315)
1525,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    SAN BENITO                                        ,52,440969.62,4480341.5,POINT (-3.69636063934136 40.47165688169373)
1526,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP","SECUNDARIA, BACH, FP",PUBLICO,ALMENARA            ,4,TETUAN              ,6,CALLE                    VIA LIMITE                                        ,12,440853.62,4480518.5,POINT (-3.6977454586573364 40.4732431157553)
1527,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CASTILLEJOS         ,3,TETUAN              ,6,CALLE                    ORENSE                                            ,69,441105.6,4478865.5,POINT (-3.6946196513926495 40.45837011658699)
1528,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    ADRIAN PULIDO                                     ,7,440136.62,4478360.5,POINT (-3.705999678903038 40.45375163436098)
1529,"CENTRO DE PRIMARIA, SECUNDARIA, BACHILLERATO Y/O FP PRIVADO","PRIMARIA, SECUNDARIA, BACH, FP",PRIVADO,BERRUGUETE          ,6,TETUAN              ,6,CALLE                    MARQUES DE VIANA                                  ,41,440507.62,4479288.5,POINT (-3.701711571020248 40.462138078198734)
