id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito,latitud,longitud
184,1050000,13.0,EXTERIOR,2.0,130.0,True,False,IBIZA,34,RETIRO,3,40.41846,-3.669407
185,785000,9.0,EXTERIOR,3.0,101.0,True,False,IBIZA,34,RETIRO,3,40.4168,-3.678056
186,400000,11.0,EXTERIOR,2.0,90.0,True,False,IBIZA,34,RETIRO,3,40.41787,-3.671913
187,1125000,1.0,EXTERIOR,5.0,239.0,False,False,IBIZA,34,RETIRO,3,40.41963,-3.674712
188,880000,11.0,EXTERIOR,2.0,138.0,True,False,IBIZA,34,RETIRO,3,40.4181,-3.676195
189,795000,6.0,EXTERIOR,3.0,146.0,True,False,IBIZA,34,RETIRO,3,40.42233,-3.672435
190,1799000,4.0,EXTERIOR,7.0,460.0,True,True,IBIZA,34,RETIRO,3,40.42112,-3.669278
191,699000,8.0,EXTERIOR,2.0,113.0,True,False,IBIZA,34,RETIRO,3,40.41788,-3.673254
192,795000,6.0,EXTERIOR,3.0,146.0,True,False,IBIZA,34,RETIRO,3,40.41866,-3.672843
193,699000,8.0,EXTERIOR,2.0,113.0,True,False,IBIZA,34,RETIRO,3,40.41804,-3.673354
194,710000,4.0,EXTERIOR,2.0,90.0,True,False,IBIZA,34,RETIRO,3,40.41795,-3.677979
195,495000,6.0,EXTERIOR,4.0,98.0,True,False,IBIZA,34,RETIRO,3,40.41601,-3.67523
196,715000,8.0,EXTERIOR,2.0,112.0,True,False,IBIZA,34,RETIRO,3,40.41778,-3.673187
197,1000000,13.0,EXTERIOR,2.0,127.0,True,False,IBIZA,34,RETIRO,3,40.41766,-3.670692
198,465000,11.0,EXTERIOR,3.0,81.0,True,False,IBIZA,34,RETIRO,3,40.41702,-3.675816
199,640000,2.0,EXTERIOR,4.0,120.0,True,False,IBIZA,34,RETIRO,3,40.41833,-3.677587
200,379000,3.0,INTERIOR,4.0,81.0,True,False,IBIZA,34,RETIRO,3,40.41689,-3.672863
201,479000,1.0,EXTERIOR,4.0,121.0,True,False,IBIZA,34,RETIRO,3,40.41829,-3.668984
202,850000,1.0,EXTERIOR,5.0,169.0,True,False,IBIZA,34,RETIRO,3,40.41943,-3.67612
203,2400000,1.0,INTERIOR,4.0,283.0,True,False,IBIZA,34,RETIRO,3,40.42203,-3.679188
204,370000,4.0,INTERIOR,2.0,75.0,True,False,IBIZA,34,RETIRO,3,40.4209,-3.678828
205,895000,2.0,EXTERIOR,4.0,204.0,True,False,IBIZA,34,RETIRO,3,40.42004,-3.671655
206,432000,1.0,EXTERIOR,3.0,90.0,True,False,IBIZA,34,RETIRO,3,40.42,-3.67407
207,1100000,0.0,EXTERIOR,2.0,111.0,True,False,IBIZA,34,RETIRO,3,40.4162,-3.678721
208,595000,1.0,EXTERIOR,2.0,108.0,True,False,IBIZA,34,RETIRO,3,40.4193,-3.676049
209,475000,4.0,EXTERIOR,2.0,77.0,False,False,IBIZA,34,RETIRO,3,40.41837,-3.67436
210,760000,2.0,EXTERIOR,4.0,141.0,True,False,IBIZA,34,RETIRO,3,40.418,-3.673508
211,810000,2.0,EXTERIOR,3.0,115.0,True,False,IBIZA,34,RETIRO,3,40.41801,-3.677406
212,400000,11.0,EXTERIOR,2.0,90.0,True,False,IBIZA,34,RETIRO,3,40.41814,-3.671953
213,910000,7.0,EXTERIOR,2.0,132.0,True,False,IBIZA,34,RETIRO,3,40.42118,-3.673385
214,445000,9.0,EXTERIOR,2.0,46.0,True,False,IBIZA,34,RETIRO,3,40.4182,-3.675778
215,449000,8.0,EXTERIOR,2.0,79.0,True,False,IBIZA,34,RETIRO,3,40.41896,-3.67468
216,895000,6.0,EXTERIOR,5.0,204.0,True,False,IBIZA,34,RETIRO,3,40.42088,-3.671396
217,1390000,2.0,INTERIOR,3.0,157.0,True,False,IBIZA,34,RETIRO,3,40.41831,-3.678926
218,697000,2.0,EXTERIOR,3.0,115.0,True,False,IBIZA,34,RETIRO,3,40.41748,-3.67139
219,465000,1.0,EXTERIOR,3.0,103.0,True,False,IBIZA,34,RETIRO,3,40.42163,-3.67473
220,485000,7.0,INTERIOR,4.0,121.0,True,False,IBIZA,34,RETIRO,3,40.41789,-3.668293
221,432000,4.0,EXTERIOR,3.0,90.0,True,False,IBIZA,34,RETIRO,3,40.41763,-3.675761
222,1100000,1.0,EXTERIOR,2.0,127.0,True,False,IBIZA,34,RETIRO,3,40.41951,-3.670847
223,533000,11.0,EXTERIOR,2.0,84.0,True,False,IBIZA,34,RETIRO,3,40.42089,-3.678805
224,1350000,6.0,EXTERIOR,4.0,181.0,True,True,IBIZA,34,RETIRO,3,40.41484,-3.678112
225,535000,0.0,INTERIOR,3.0,120.0,True,False,IBIZA,34,RETIRO,3,40.41672,-3.67023
226,445000,1.0,EXTERIOR,1.0,89.0,False,False,IBIZA,34,RETIRO,3,40.41945,-3.67829
227,290000,1.0,EXTERIOR,2.0,51.0,True,False,IBIZA,34,RETIRO,3,40.41909,-3.676419
228,710000,0.0,INTERIOR,2.0,109.0,True,False,IBIZA,34,RETIRO,3,40.41785,-3.674936
229,910000,6.0,EXTERIOR,5.0,180.0,True,False,IBIZA,34,RETIRO,3,40.41852,-3.675978
230,990000,8.0,INTERIOR,4.0,205.0,True,False,IBIZA,34,RETIRO,3,40.41818,-3.674372
231,740000,6.0,INTERIOR,3.0,119.0,True,False,IBIZA,34,RETIRO,3,40.41761,-3.677628
232,489000,3.0,EXTERIOR,2.0,93.0,True,False,IBIZA,34,RETIRO,3,40.41666,-3.676
233,689000,8.0,INTERIOR,2.0,97.0,True,False,IBIZA,34,RETIRO,3,40.4179,-3.67797
234,444000,9.0,EXTERIOR,2.0,46.0,True,False,IBIZA,34,RETIRO,3,40.41525,-3.672739
235,795000,11.0,EXTERIOR,2.0,95.0,True,False,IBIZA,34,RETIRO,3,40.41718,-3.674659
236,990000,8.0,INTERIOR,4.0,205.0,True,False,IBIZA,34,RETIRO,3,40.41765,-3.675893
237,2650000,10.0,EXTERIOR,3.0,335.0,True,False,IBIZA,34,RETIRO,3,40.41999,-3.679873
238,940000,9.0,EXTERIOR,2.0,113.0,True,False,IBIZA,34,RETIRO,3,40.41937,-3.678408
239,699000,8.0,EXTERIOR,2.0,113.0,True,False,IBIZA,34,RETIRO,3,40.41804,-3.673417
240,990000,8.0,INTERIOR,4.0,205.0,True,False,IBIZA,34,RETIRO,3,40.41825,-3.674207
241,785000,9.0,EXTERIOR,3.0,101.0,True,False,IBIZA,34,RETIRO,3,40.41618,-3.676009
