id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
160,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    GRAN VIA                                          ,53,439926.6,4474774.5,40.42143225198044,-3.7081373507496607
161,HOTEL,SI,JUSTICIA            ,14,CENTRO              ,1,CALLE                    GRAN VIA                                          ,22,440590.6,4474611.5,40.42001154443406,-3.7002955366213883
162,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    AMPARO                                            ,68,440461.6,4473275.5,40.407966996134874,-3.701690998162725
163,HOTEL,SI,JUSTICIA            ,14,CENTRO              ,1,CALLE                    HORTALEZA                                         ,3,440517.6,4474641.5,40.42027658355508,-3.7011587778028727
165,APART-HOTEL,NO,JUSTICIA            ,14,CENTRO              ,1,CALLE                    SAN LORENZO                                       ,26,440759.6,4475144.5,40.42482510893297,-3.698353222818276
166,HOTEL,SI,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    ESTRELLA                                          ,9,440059.06,4474859.5,40.422207523440576,-3.7065840543076396
167,HOTEL,SI,JUSTICIA            ,14,CENTRO              ,1,CALLE                    GRAN VIA                                          ,20,440606.6,4474607.5,40.4199766527009,-3.7001065744760124
168,PENSION,NO,PALACIO             ,11,CENTRO              ,1,PLAZA                    VIRGEN DE LA PALOMA                               ,2,439570.06,4473319.5,40.408299129106645,-3.7122016747789544
169,CASA DE HUESPEDES,NO,PALACIO             ,11,CENTRO              ,1,RONDA                    SEGOVIA                                           ,9,439130.6,4473779.5,40.4124110013433,-3.717424585387024
170,HOTEL,SI,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    SERRANO JOVER                                     ,3,439381.6,4475720.5,40.429914707193355,-3.714651460309202
171,HOTEL,NO,SOL                 ,16,CENTRO              ,1,CALLE                    TRES CRUCES                                       ,3,440356.6,4474531.5,40.41927412776927,-3.7030461411837785
172,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    SALITRE                                           ,26,440724.06,4473439.5,40.40946311868573,-3.6986132658855886
173,COLEGIO MAYOR/RESIDENCIA DE ESTUDIANTE,NO,PALACIO             ,11,CENTRO              ,1,PLAZA                    SAN FRANCISCO                                     ,5,439401.6,4473626.5,40.41105248116428,-3.7142161636102466
174,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,2,439927.6,4474707.5,40.420828757635604,-3.7081192348362726
175,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    MINISTRILES                                       ,21,440422.6,4473559.5,40.41052261598094,-3.702177190807971
176,HOTEL,SI,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    MANUELA MALASAÃÂA                                  ,6,440360.6,4475575.5,40.42867924797404,-3.70309691521899
177,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    CORREDERA BAJA DE SAN PABLO                       ,53,440388.6,4475027.5,40.42374461973978,-3.702715462425051
178,HOSTAL,NO,UNIVERSIDAD         ,15,CENTRO              ,1,COSTANILLA               SAN VICENTE                                       ,4,440139.6,4475302.5,40.42620406747761,-3.705676421844831
179,VIVIENDA TURISTICA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    OLIVAR                                            ,28,440460.6,4473570.5,40.41062442820412,-3.7017303852872483
180,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    OLIVAR                                            ,25,440471.6,4473551.5,40.410454053715185,-3.7015989711206956
181,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,JUSTICIA            ,14,CENTRO              ,1,CALLE                    INFANTAS                                          ,44,440886.6,4474603.5,40.4199605567566,-3.6968059023321764
182,APART-HOTEL,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    AMANIEL                                           ,13,439816.6,4475360.5,40.42670325403931,-3.7094893867914465
183,VIVIENDA TURISTICA,NO,UNIVERSIDAD         ,15,CENTRO              ,1,TRAVESIA                 CONDE DUQUE                                       ,10,439728.6,4475299.5,40.42614736830455,-3.710520941839087
184,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    TRES CRUCES                                       ,6,440375.6,4474539.5,40.41934755710823,-3.702822944791779
185,VIVIENDA TURISTICA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    ZURITA                                            ,16,440708.6,4473493.5,40.40994847622261,-3.6988004929241307
186,HOSTAL,NO,SOL                 ,16,CENTRO              ,1,CALLE                    POZO                                              ,4,440496.6,4474195.5,40.41625730302872,-3.7013645765705068
187,HOTEL,SI,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    VALVERDE                                          ,12,440451.6,4474751.5,40.42126279458457,-3.7019470084523363
188,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    PRADO                                             ,2,440600.6,4473998.5,40.41449006171569,-3.7001204238588405
189,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    GRAN VIA                                          ,43,440027.53,4474691.0,40.42068732634929,-3.7069398127701247
190,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,SOL                 ,16,CENTRO              ,1,CALLE                    MONTERA                                           ,10,440382.66,4474354.5,40.417681495916874,-3.70272239026692
191,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA BAJA                                         ,12,439885.6,4473857.5,40.41316853226007,-3.7085339535052935
192,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    ATOCHA                                            ,23,440368.6,4473947.5,40.414014039528816,-3.7028499533032098
193,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    ATOCHA                                            ,123,441139.6,4473490.5,40.40995203825581,-3.6937208615729635
194,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    CEDACEROS                                         ,4,440728.6,4474338.5,40.41756207100629,-3.698643518571623
195,PENSION,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    ZURITA                                            ,40,440607.6,4473379.5,40.4089143082642,-3.699980140768228
196,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    RELATORES                                         ,10,440332.6,4473848.5,40.41311962025572,-3.703264954597083
197,CASA DE HUESPEDES,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    LAVAPIES                                          ,32,440381.6,4473550.5,40.41043860414752,-3.702659537675475
198,VIVIENDA TURISTICA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    SAN COSME Y SAN DAMIAN                            ,14,440739.6,4473442.5,40.40949125058839,-3.6984304071401213
199,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    ATOCHA                                            ,49,440556.6,4473851.5,40.41316267351147,-3.7006252646804247
200,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    ZORRILLA                                          ,7,440830.6,4474250.5,40.41677658298859,-3.697433123273779
201,VIVIENDA TURISTICA,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    SAN VICENTE FERRER                                ,76,439931.6,4475307.5,40.42623411766877,-3.708128766946996
202,HOSTAL,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    AMANIEL                                           ,7,439835.6,4475202.5,40.42528129384408,-3.7092504647232416
203,APART-HOTEL,NO,UNIVERSIDAD         ,15,CENTRO              ,1,PLAZA                    ESPAÃÂA                                            ,19,439649.6,4475104.5,40.42438499495648,-3.711433671413616
204,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    CELENQUE                                          ,3,440122.6,4474318.5,40.417338520183726,-3.7057841642945415
205,VIVIENDA TURISTICA,NO,PALACIO             ,11,CENTRO              ,1,CALLE                    TOLEDO                                            ,74,439735.6,4473447.5,40.40946421363539,-3.7102629550427144
206,VIVIENDA TURISTICA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    TORRECILLA DEL LEAL                               ,5,440656.6,4473648.5,40.411341086568534,-3.699427770884166
207,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    SEVILLA                                           ,3,440591.6,4474302.5,40.41722799706527,-3.7002548875748396
208,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,PLAZA                    ESPAÃÂA                                            ,4,439626.12,4474919.5,40.42271672913341,-3.7116928772694293
209,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    SALUD                                             ,3,440259.6,4474449.5,40.41852847545732,-3.704181743988348
210,HOSTAL,NO,SOL                 ,16,CENTRO              ,1,CALLE                    ESPARTEROS                                        ,6,440170.6,4474174.5,40.41604475295693,-3.7052048771643356
211,CASA DE HUESPEDES,NO,SOL                 ,16,CENTRO              ,1,CALLE                    JARDINES                                          ,23,440596.6,4474494.5,40.41895798135644,-3.700213887917997
212,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    PUEBLA                                            ,7,440370.6,4474842.5,40.422076764223235,-3.702910288196186
