id_zonaverde,nombre_zv,barrio,id_barrio,distrito,id_distrito,Superficie (m2),Superficie (ha)
159,PÂº ANICETO MARINAS,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,"27.828,42","2,78"
160,COL. DEL MANZANARES,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,"79.614,72","7,96"
161,PARQUE DEL CEMENTERIO,VALDEMARIN,95,MONCLOA-ARAVACA,9,"36.751,31","3,68"
162,PARQUE DE LA BOMBILLA,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,"110.235,98","11,02"
163,AMPLIACION PARQUE ARROYO  POZUELO,ARAVACA,97,MONCLOA-ARAVACA,9,"104.914,09","10,49"
164,PARQUE ARROYO POZUELO,ARAVACA,97,MONCLOA-ARAVACA,9,"91.840,31","9,18"
165,PAR. ARROYO POZUELO (AMPLIACION)_2,ARAVACA,97,MONCLOA-ARAVACA,9,"78.802,58","7,88"
166,CUESTA DEL GALVAN - RONDA DE LAS FLORES - TAPIA DEL HIPODROMO,ARAVACA,97,MONCLOA-ARAVACA,9,"70.882,07","7,09"
167,COMPENSACION DEL PLAN PARCIALLA HORCA.SECTOR I_18,CIUDAD UNIVERSITARIA,93,MONCLOA-ARAVACA,9,"69.674,68","6,97"
168,PINAR CÂº CERRO AGUILA,ARAVACA,97,MONCLOA-ARAVACA,9,"212.362,56","21,24"
169,PÂº ERMITA - VILLA ADRIANA,ARAVACA,97,MONCLOA-ARAVACA,9,"44.547,47","4,45"
170,RECINTOS FERIALES,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,"67.252,82","6,73"
171,COL. VALDEZARZA,VALDEZARZA,94,MONCLOA-ARAVACA,9,"37.993,72","3,80"
172,CAMINO BARRIAL,ARAVACA,97,MONCLOA-ARAVACA,9,"38.845,53","3,88"
173,EL DISCO,ARAVACA,97,MONCLOA-ARAVACA,9,"28.414,37","2,84"
174,MARGEN DERECHO DEL RIO MANZANARES,CIUDAD UNIVERSITARIA,93,MONCLOA-ARAVACA,9,"42.092,72","4,21"
175,PARQUE LA RINCONERA,ARAVACA,97,MONCLOA-ARAVACA,9,"43.865,33","4,39"
176,COL. ROSA LUXEMBURGO,ARAVACA,97,MONCLOA-ARAVACA,9,"40.765,95","4,08"
177,PARQUE RAFAEL FINAT,LAS AGUILAS,107,LATINA,10,"10.010,64","1,00"
178,CuÃ±a Verde - SeseÃ±a 34 Posterior,ALUCHE,104,LATINA,10,"21.550,58","2,16"
179,TERRIZOS ARBOLADO S. BENIGNO-SEPULVEDA,PUERTA DEL ANGEL,102,LATINA,10,"21.349,90","2,13"
180,COL. VIRGEN DE LOURDES,LUCERO,103,LATINA,10,"20.915,54","2,09"
181,JARDINES DEL POL. C. CARABANCHEL,LAS AGUILAS,107,LATINA,10,"19.033,48","1,90"
182,PAR GRAL. GÂª ESCAMEZ,LAS AGUILAS,107,LATINA,10,"15.970,20","1,60"
183,COL. JUAN TORNERO,PUERTA DEL ANGEL,102,LATINA,10,"15.531,33","1,55"
184,COL. ANTONIO BLASCO,LUCERO,103,LATINA,10,"12.450,49","1,25"
185,GRAL. FANJUL - STA. MARGARITA,LAS AGUILAS,107,LATINA,10,"12.166,27","1,22"
186,APARCAMIENTO GRAL SALIQUET,LAS AGUILAS,107,LATINA,10,"11.950,32","1,20"
187,BÂº DE GOYA,LOS CARMENES,101,LATINA,10,"10.909,68","1,09"
188,TERRIZOS ARBOLADO GRAL. ROMERO BASART A,LAS AGUILAS,107,LATINA,10,"10.223,06","1,02"
189,CAMPO DE FUTBOL BÂº DE GOYA,LOS CARMENES,101,LATINA,10,"10.033,30","1,00"
190,PARQUE CARAMUEL,PUERTA DEL ANGEL,102,LATINA,10,"22.184,18","2,22"
191,Parque FÃ©lix CortÃ©s,ALUCHE,104,LATINA,10,"15.078,25","1,51"
192,CTRA. BOADILLA DEL MONTE DESDE LA N-V,CAMPAMENTO,105,LATINA,10,"11.220,91","1,12"
193,PPI -14,LUCERO,103,LATINA,10,"22.317,55","2,23"
194,PARQUE CASILDA DE BUSTOS,LAS AGUILAS,107,LATINA,10,"27.430,45","2,74"
195,Juan Carmona ÂHabichuelaÂ,CAMPAMENTO,105,LATINA,10,"24.482,06","2,45"
196,CUÃA VERDE LA LATINA,LOS CARMENES,101,LATINA,10,"656.821,58","65,68"
197,PARQUE DE LAS CRUCES,LAS AGUILAS,107,LATINA,10,"452.894,53","45,29"
198,Z.F. PAU CARABANCHEL. UNIDAD III,CUATRO VIENTOS,106,LATINA,10,"275.581,94","27,56"
199,PARQUE ALUCHE,ALUCHE,104,LATINA,10,"143.156,83","14,32"
200,COL. DEHESA DEL PPE.,CAMPAMENTO,105,LATINA,10,"55.726,78","5,57"
201,PARQUE DE CERRO ALMODOVAR - 1Âª - 2Âª FASE,ALUCHE,104,LATINA,10,"172.316,54","17,23"
202,Z.A. PAU CARABANCHEL - UNIDAD III,CUATRO VIENTOS,106,LATINA,10,"41.127,78","4,11"
203,PERI 10/6 ALUCHE - POBLADOS,LAS AGUILAS,107,LATINA,10,"40.232,21","4,02"
204,POBLADO DIRIGIDO LOS CARMENES,ALUCHE,104,LATINA,10,"36.977,50","3,70"
205,POBLADO C - CARABANCHEL - ZONAS XIX-XXIV,LAS AGUILAS,107,LATINA,10,"36.926,61","3,69"
206,Z.A. PARQUE CARAMUEL,PUERTA DEL ANGEL,102,LATINA,10,"33.115,39","3,31"
207,METRO CIUDAD JARDIN,CAMPAMENTO,105,LATINA,10,"27.466,08","2,75"
208,CAÃO ROTO - LOS CARMENES,LUCERO,103,LATINA,10,"48.625,92","4,86"
209,PARQUE JACINTO VERDAGUER,OPANEL,112,CARABANCHEL,11,"14.398,26","1,44"
210,JARDINES VIA LUSITANA,ABRANTES,117,CARABANCHEL,11,"17.996,17","1,80"
211,PARQUE DEL PAN BENDITO,PUERTA BONITA,115,CARABANCHEL,11,"17.527,95","1,75"
212,JM_INST. DEP. PAN BENDITO,BUENAVISTA,116,CARABANCHEL,11,"17.482,96","1,75"
213,COMANDANTE FONTANES,SAN ISIDRO,113,CARABANCHEL,11,"17.159,51","1,72"
214,AVDA. POBLADOS - JACOBINA,VISTA ALEGRE,114,CARABANCHEL,11,"15.640,84","1,56"
215,API 11.08 AVDA. POBLADOS - VIA LUSITANA,ABRANTES,117,CARABANCHEL,11,"13.496,45","1,35"
216,JARDIN LOS PARRALES,BUENAVISTA,116,CARABANCHEL,11,"10.721,46","1,07"
217,POL. INDUSTRIAL TAMAMES - AGUACATE,BUENAVISTA,116,CARABANCHEL,11,"12.496,80","1,25"
218,COL. URBIS,COMILLAS,111,CARABANCHEL,11,"12.323,95","1,23"
219,AVDA. POBLADOS - CHIRIVITA,PUERTA BONITA,115,CARABANCHEL,11,"11.720,32","1,17"
220,AVDA. DE LOS POBLADOS - ALBA DE TORMES,PUERTA BONITA,115,CARABANCHEL,11,"11.127,09","1,11"
