id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
1356,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,EL VISO             ,1,CHAMARTIN           ,5,CALLE                    LOPEZ DE HOYOS                                    ,38,442151.6,4476747.5,40.43936366709166,-3.6820906951319268
1357,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    COSTA RICA                                        ,15,442949.6,4478889.5,40.45871496057612,-3.6728745206094864
1358,EDUCACION TERCIARIA NO UNIVERSITARIA,TERCIARIA,PRIVADO,CASTILLA            ,6,CHAMARTIN           ,5,CALLE                    BUGANVILLA                                        ,4,442628.6,4480311.5,40.47150287243166,-3.6767888367155623
1359,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CIUDAD JARDIN       ,3,CHAMARTIN           ,5,CALLE                    SANCHEZ PACHECO                                   ,49,442945.6,4477651.5,40.44756219668824,-3.672810448665002
1360,CENTROS DE CUIDADO INFANTIL,INFANTIL,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    VICTOR DE LA SERNA                                ,19,443015.28,4478379.0,40.45412064364996,-3.6720540909137114
1361,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,CIUDAD JARDIN       ,3,CHAMARTIN           ,5,CALLE                    MALCAMPO                                          ,11,442817.6,4477420.5,40.44547244308619,-3.674298984332852
1362,"CENTRO PRIV.CONCERTADO DE PRIMARIA, SECUND., BACHILL. Y/O FP","PRIMARIA, SECUNDARIA, BACH, FP",CONCERTADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    LUIS DE SALAZAR                                   ,9,443594.75,4477656.0,40.447647033336914,-3.6651562797199198
1363,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,AVENIDA                  COMANDANTE FRANCO                                 ,8,442564.6,4479635.5,40.4654087439032,-3.6774825727928406
1364,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,INFANTIL Y PRIMARIA,PRIVADO,CASTILLA            ,6,CHAMARTIN           ,5,CALLE                    SANTA MAGDALENA SOFIA                             ,12,442675.6,4480027.5,40.46894772050289,-3.6762087691384124
1365,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP","SECUNDARIA, BACH, FP",PUBLICO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    PADRE CLARET                                      ,8,443659.6,4477506.5,40.446304660457784,-3.664378326095895
1366,EDUCACION UNIVERSITARIA PRIVADA,UNIVERSITARIA,PRIVADO,EL VISO             ,1,CHAMARTIN           ,5,CALLE                    PINAR                                             ,18,441709.6,4476673.5,40.43866617483946,-3.687295175515111
1367,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    PRINCIPE DE VERGARA                               ,225,442538.6,4478354.5,40.4538671170443,-3.677673267690225
1368,CENTROS PUBLICOS DE EDUCACION PRIMARIA,PRIMARIA,PUBLICO,EL VISO             ,1,CHAMARTIN           ,5,CALLE                    VITRUVIO                                          ,14,441702.6,4477213.5,40.4435302549046,-3.687427257522874
