nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Tirso de Molina,L1,EMBAJADORES,2,CENTRO,1,16,"-3,704,359,623.00","4,041,237,559.00",5.317.945
Torre Arias,L5,SIMANCAS,1,SAN BLAS - CANILLEJAS,20,29,"-3,617,039,397.00","4,044,361,427.00",2.102.301
Tres Olivos,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,11,"-3,694,357,972.00","4,050,089,838.00",7.678.416
Tribunal,L1/L10,JUSTICIA,4,CENTRO,1,13,"-370,116,243.00","4,042,613,342.00",13.521.895
Urgel,L5,SAN ISIDRO,3,CARAMBACHEL,11,9,"-3,724,476,647.00","4,039,301,052.00",4.128.094
Usera,L6,MOSCARDO,5,USERA,12,24,"-3,706,622,287.00","4,038,707,515.00",7.515.213
Valdeacederas,L1,VALDEACEDERAS,5,TETUAN,6,5,"-3,695,127,745.00","4,046,440,066.00",3.877.235
Valdebernardo,L9,VALDEBERNARDO,2,VICALVARO,19,21,"-3,621,553,966.00","4,040,002,717.00",2.567.757
Valdecarros,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,33,"-359,316,563.00","4,036,010,803.00",1.227.630
Valdezarza,L7,VALDEZARZA,4,MONCLOA-ARAVACA,9,7,"-37,159,758.00","4,046,460,815.00",1.851.195
Velazquez,L4,CASTELLANA,6,SALAMANCA,4,7,"-3,682,916,224.00","4,042,515,107.00",2.662.973
Ventas,L2/L5,GUINDALERA,4,SALAMANCA,4,6,"-3,663,536,293.00","4,043,110,198.00",6.716.718
Ventilla,L9,ALMENARA,4,TETUAN,6,5,"-3,695,898,463.00","4,046,955,802.00",1.828.377
Ventura Rodríguez,L3,UNIVERSIDAD,5,CENTRO,1,3,"-3,713,588,147.00","4,042,701,317.00",2.143.241
Vicalvaro,L9,CASCO HISTORICO DE VICALVARO,1,VICALVARO,19,22,"-3,608,936,855.00","4,040,421,029.00",2.235.714
Vicente Aleixandre,L6,CIUDAD UNIVERSITARIA,3,MONCLOA-ARAVACA,9,9,"-3,718,782,881.00","4,044,684,253.00",2.139.036
Villa de Vallecas,L1,CASCO HISTORICO VALLECAS,1,VILLA DE VALLECAS,18,29,"-3,621,232,265.00","4,037,966,041.00",2.809.186
Villaverde Alto,L3,VILLAVERDE ALTO,1,VILLAVERDE,17,18,"-3,711,905,936.00","4,034,158,254.00",4.325.654
Villaverde Bajo-Cruce,L3,LOS ROSALES,4,VILLAVERDE,17,16,"-3,692,524,549.00","4,035,094,759.00",5.896.901
Vinateros,L9,VINATEROS,6,MORATALAZ,14,18,"-3,652,784,957.00","4,041,032,289.00",2.577.631
Vista Alegre,L5,VISTA ALEGRE,5,CARAMBACHEL,11,7,"-3,739,959,292.00","4,038,869,168.00",3.515.983
