id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,restaurante,geometry
82,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    MONTERA                                           ,22,440410.6,4474418.5,SI,POINT (-3.702399074923463 40.41826003922968)
84,APART-HOTEL,NO,SOL                 ,6,CENTRO              ,1,CALLE                    JARDINES                                          ,15,440562.6,4474496.5,NO,POINT (-3.7006148193019213 40.418973570529054)
85,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    MEJIA LEQUERICA                                   ,21,440664.6,4475509.5,NO,POINT (-3.699507112099223 40.428106428609105)
86,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    LEGANITOS                                         ,13,439774.6,4474748.5,SI,POINT (-3.7099265142354034 40.421187044542854)
87,HOTEL,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    SERRANO ANGUITA                                   ,11,440741.6,4475454.5,NO,POINT (-3.6985942937439042 40.42761645163746)
88,APART-HOTEL,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN VICENTE FERRER                                ,1,440515.6,4475213.5,NO,POINT (-3.701235859030253 40.425429283443535)
89,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    PRECIADOS                                         ,37,439985.6,4474579.5,SI,POINT (-3.7074235151862784 40.41967986013574)
90,HOSTAL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    CERVANTES                                         ,8,440763.6,4473974.5,NO,POINT (-3.6981970992793913 40.414285475204366)
91,VIVIENDA TURISTICA,NO,CORTES              ,3,CENTRO              ,1,CALLE                    CERVANTES                                         ,8,440763.6,4473974.5,NO,POINT (-3.6981970992793913 40.414285475204366)
92,HOTEL,SI,CORTES              ,3,CENTRO              ,1,PLAZA                    CORTES                                            ,10,440858.6,4474110.5,SI,POINT (-3.697090092462958 40.415517385375296)
93,HOSTAL,NO,CORTES              ,3,CENTRO              ,1,PLAZA                    ANGEL                                             ,12,440424.6,4473973.5,NO,POINT (-3.7021923869683118 40.41425227026992)
94,HOTEL,SI,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    DOCTOR DRUMEN                                     ,4,441193.6,4473396.5,SI,POINT (-3.693075781736431 40.409109055561)
95,HOSTAL,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,9,440187.6,4473650.5,NO,POINT (-3.7049552487077704 40.41132553475071)
96,HOTEL,SI,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    GRAN VIA                                          ,66,439861.6,4474883.5,SI,POINT (-3.7089138146062255 40.42240947808058)
97,COLEGIO MAYOR/RESIDENCIA DE ESTUDIANTE,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN VICENTE FERRER                                ,82,439894.6,4475311.5,NO,POINT (-3.7085652956275466 40.42626747915075)
98,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    ANGEL                                             ,18,439495.6,4473490.5,SI,POINT (-3.713095423568197 40.40983416815955)
99,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    SAN MATEO                                         ,2,440569.6,4475156.5,NO,POINT (-3.7005939937227668 40.42491966014707)
100,VIVIENDA TURISTICA,NO,PALACIO             ,1,CENTRO              ,1,CALLE                    DON PEDRO                                         ,5,439512.6,4473679.5,NO,POINT (-3.7129130460143704 40.41153800309092)
102,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    FOMENTO                                           ,2,439808.6,4474632.5,SI,POINT (-3.7095147783727587 40.42014452406079)
103,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    FLOR BAJA                                         ,3,439803.6,4474850.5,SI,POINT (-3.7095943473400292 40.42210800512299)
104,HOTEL,NO,PALACIO             ,1,CENTRO              ,1,CALLE                    RIO                                               ,7,439637.6,4474869.5,NO,POINT (-3.7115528136858074 40.422267139698455)
105,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    GRAN VIA                                          ,65,439770.6,4474906.5,SI,POINT (-3.70998862654984 40.42261009027883)
106,PENSION,NO,PALACIO             ,1,CENTRO              ,1,PLAZA                    SAN MIGUEL                                        ,5,439864.6,4474084.5,NO,POINT (-3.7088029082114877 40.41521193692193)
107,HOTEL,SI,CORTES              ,3,CENTRO              ,1,CALLE                    ATOCHA                                            ,113,441058.6,4473533.5,SI,POINT (-3.6946794334929574 40.41033367227119)
108,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    ALCALA                                            ,19,440621.6,4474377.5,SI,POINT (-3.6999083000211894 40.41790577391432)
109,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    IMPERIAL                                          ,8,440006.6,4474033.5,SI,POINT (-3.7071244963590066 40.41476275315699)
110,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    GRAN VIA                                          ,25,440428.6,4474599.5,SI,POINT (-3.7022038714975793 40.419891861117655)
111,CASA DE HUESPEDES,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    ALMIRANTE                                         ,16,441140.6,4474875.5,NO,POINT (-3.6938372319439456 40.422428869292865)
112,VIVIENDA TURISTICA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,83,440493.6,4473055.5,NO,POINT (-3.701293317249087 40.405987416082716)
113,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    ARENAL                                            ,2,440196.6,4474274.5,SI,POINT (-3.704907840654334 40.416947468603865)
114,HOSTAL,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    BALLESTA                                          ,5,440310.6,4474782.5,NO,POINT (-3.7036118848251696 40.421531954400514)
115,HOTEL,SI,JUSTICIA            ,4,CENTRO              ,1,CALLE                    GRAN VIA                                          ,2,440856.6,4474532.5,SI,POINT (-3.6971529033722472 40.41931882301951)
116,HOTEL,SI,CORTES              ,3,CENTRO              ,1,CALLE                    PRADO                                             ,6,440655.6,4474011.5,SI,POINT (-3.6994734162091873 40.41461109545499)
117,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    CAMPOMANES                                        ,7,439825.6,4474519.5,SI,POINT (-3.7093037115604957 40.41912779806489)
118,HOTEL,SI,SOL                 ,6,CENTRO              ,1,PLAZA                    CELENQUE                                          ,2,440109.6,4474350.5,SI,POINT (-3.7059403993224933 40.417625855634455)
119,CASA DE HUESPEDES,NO,SOL                 ,6,CENTRO              ,1,CALLE                    FLORA                                             ,3,439948.6,4474415.5,NO,POINT (-3.7078441389386123 40.41819980344222)
120,CASA DE HUESPEDES,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    MANUELA MALASAÃA                                  ,12,440297.6,4475583.5,NO,POINT (-3.7038403288926953 40.42874679656221)
121,HOTEL,SI,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    GRAN VIA                                          ,38,440225.6,4474656.5,SI,POINT (-3.7046019404175703 40.420390786267674)
122,HOTEL,SI,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    CAÃIZARES                                         ,6,440462.6,4473826.5,SI,POINT (-3.7017307704772597 40.41293074286818)
123,PENSION,NO,CORTES              ,3,CENTRO              ,1,CALLE                    MANUEL FERNANDEZ Y GONZALEZ                       ,10,440687.6,4474065.5,NO,POINT (-3.6991013038935714 40.41509983462098)
124,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    MONTERA                                           ,6,440375.6,4474330.5,SI,POINT (-3.7028033523049007 40.417464786797616)
125,HOTEL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    GOBERNADOR                                        ,24,441093.6,4473658.5,NO,POINT (-3.6942785270807876 40.41146221213549)
126,VIVIENDA TURISTICA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    AMPARO                                            ,86,440535.6,4473146.5,NO,POINT (-3.700806877729424 40.4068101898777)
127,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,1,439894.6,4474683.5,SI,POINT (-3.7085059345596236 40.42061017166353)
128,HOTEL,SI,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    GRAN VIA                                          ,80,439733.6,4474986.5,SI,POINT (-3.710432335493672 40.42332808703055)
129,VIVIENDA TURISTICA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MAGDALENA                                         ,22,440520.6,4473754.5,NO,POINT (-3.7010404774525347 40.41228627885617)
130,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    SILVA                                             ,6,439988.6,4474692.5,SI,POINT (-3.707398817825064 40.42069803232748)
131,HOSTAL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    ATOCHA                                            ,43,440524.6,4473869.5,NO,POINT (-3.701004086303215 40.413322540187764)
