nombre_equip,tipo_equip,id_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
Teatro Espai±ol,,72,CORTES,13,CENTRO,1,CALLE PRINCIPE,25.0,28012,440597,4474036,40.41482868269558,-3.7001663599562105
Teatro Fi­garo - Adolfo Marsillach,,73,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR CORTEZO,5.0,28012,440298,4473886,40.41345601671212,-3.703676260061599
Teatro Infanta Isabel,,74,JUSTICIA,14,CENTRO,1,CALLE BARQUILLO,24.0,28004,440993,4474853,40.42221671356561,-3.6955867306586354
Teatro Karpas,,75,EMBAJADORES,12,CENTRO,1,CALLE SANTA ISABEL,19.0,28012,440803,4473550,40.41045615490087,-3.6977049393895824
Teatro Monumental,,76,CORTES,13,CENTRO,1,CALLE ATOCHA,65.0,28012,440680,4473775,40.41248873703834,-3.699161734460963
Teatro Mari­a Guerrero.,,77,JUSTICIA,14,CENTRO,1,CALLE TAMAYO Y BAUS,4.0,28004,441207,4474927,40.42288948179915,-3.693071021887218
Teatro Mui±oz Seca,,78,SOL,16,CENTRO,1,PLAZA CARMEN,1.0,28013,440336,4474436,40.41840439358014,-3.703279899159383
Teatro Maravillas,,79,UNIVERSIDAD,15,CENTRO,1,CALLE MANUELA MALASAÃA,6.0,28004,440360,4475576,40.4286757607178,-3.703103946758172
Theatre for the people,,80,UNIVERSIDAD,15,CENTRO,1,PLAZA CARLOS CAMBRONERO,5.0,28004,440289,4474961,40.42313947499592,-3.703883251330829
Teatro Arlequi­n Gran Vi­a,,81,PALACIO,11,CENTRO,1,CALLE SAN BERNARDO,5.0,28013,439913,4474730,40.421022372676056,-3.708305147545997
Soho Club Teatro,,82,PALACIO,11,CENTRO,1,PLAZA ESPAÃA,6.0,28008,439605,4474904,40.4225784750317,-3.711936020558947
Sala Teatro Azarte,,83,JUSTICIA,14,CENTRO,1,CALLE SAN MARCOS,19.0,28004,440756,4474766,40.42140719770071,-3.698360306512048
Sala de Teatro La Escalera de Jacob,,84,EMBAJADORES,12,CENTRO,1,CALLE LAVAPIES,9.0,28012,440367,4473650,40.41133761512936,-3.7028377820426464
Tablao Flamenco 1911,,85,CORTES,13,CENTRO,1,PLAZA SANTA ANA,15.0,28012,440490,4474047,40.414922971596944,-3.701424270015707
Tablao Flamenco Cardamomo,,86,CORTES,13,CENTRO,1,CALLE ECHEGARAY,15.0,28014,440650,4474106,40.415463057589214,-3.699548238936712
Tablao Flamenco Corral de la Moreri­a,,87,PALACIO,11,CENTRO,1,CALLE MORERIA,17.0,28005,439399,4473810,40.412706403145705,-3.7142642886799
