nombre_equip,tipo_equip,id_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
Fernan Gomez Centro Cultural de la Villa,USO POLIVALENTE,118,RECOLETOS,41,SALAMANCA,4,PLAZA COLON,4,28001,441476,4475151,40.42492635,-3.689920852
Nuevo Teatro Alcala,TEATRO,119,GOYA,42,SALAMANCA,4,CALLE JORGE JUAN,62,28009,442464,4474973,40.42340076,-3.678258597
Teatro Tribuei±e,TEATRO,120,FUENTE DEL BERRO,43,SALAMANCA,4,CALLE SANCHO DAVILA,31,28028,443879,4475204,40.42556937,-3.66159964
Tablao Flamenco Corral de la Pacheca,TABLAO,121,GUINDALERA,44,SALAMANCA,4,CALLE ALCALA,237,28028,443775,4475871,40.43158109,-3.662863217
Tablao Flamenco Corral de la Pacheca,TABLAO,122,GUINDALERA,44,SALAMANCA,4,CALLE ALCALA,237,28028,443775,4475871,40.43158109,-3.662863217
Sala Barracudas,SALA CONCIERTOS,123,GUINDALERA,44,SALAMANCA,4,CALLE BRESCIA,19,28028,443825,4476441,40.43672108,-3.662331953
Teatro Pradillo,TEATRO,124,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE PRADILLO,12,28002,442785,4477765,40.44856561,-3.674726122
Sala Elefante Blanco,SALA CONCIERTOS,125,PROSPERIDAD,52,CHAMARTIN,5,CALLE SANTA HORTENSIA,14,28002,443192,4477384,40.44516935,-3.669872684
Auditorio al aire libre Berli­n,AUDITORIO,126,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE SAN ERNESTO,10,28002,442714,4477836,40.44920845,-3.675553914
Auditorio Nacional de Miºsica,AUDITORIO,127,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE PRINCIPE DE VERGARA,146,28002,442619,4477707,40.44615939,-3.677944887
Sala Moe,SALA CONCIERTOS,128,HISPANOAMERICA,54,CHAMARTIN,5,AVENIDA ALBERTO ALCOCER,32,28036,442126,4478859,40.45839167,-3.682578546
Auditorio al aire libre. Templete. Plaza de la Remonta,AUDITORIO,129,VALDEACEDERAS,65,TETUAN,6,PLAZA REMONTA,18,28039,440853,4479492,40.46399701,-3.697657079
Sala The Irish Rover,SALA CONCIERTOS,130,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,7,28020,441158,4478468,40.45480073,-3.693964081
Sala Rockville,SALA CONCIERTOS,131,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,3,28020,441148,4478377,40.45397722,-3.694069298
