NMT;anio;mes;dia;tipo;LAEQ;DIRECCION;X (ETRS89);Y (ETRS89)
55;2021;1;1;D;50.9;Embajada II Frente al nº 13 de la Calle Riaño;450779;4479239
55;2021;1;1;E;52.3;Embajada II Frente al nº 13 de la Calle Riaño;450779;4479239
55;2021;1;1;N;58.6;Embajada II Frente al nº 13 de la Calle Riaño;450779;4479239
55;2021;1;1;T;55.3;Embajada II Frente al nº 13 de la Calle Riaño;450779;4479239
86;2021;1;1;D;52.4;Tres Olivos Frente al nº 23 de la Avenida del Campo de Calatrava;441557;4483544
86;2021;1;1;E;52.8;Tres Olivos Frente al nº 23 de la Avenida del Campo de Calatrava;441557;4483544
86;2021;1;1;N;62.4;Tres Olivos Frente al nº 23 de la Avenida del Campo de Calatrava;441557;4483544
86;2021;1;1;T;58.4;Tres Olivos Frente al nº 23 de la Avenida del Campo de Calatrava;441557;4483544
1;2021;1;2;D;65.1;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;2;E;65.6;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;2;N;61;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;2;T;64.1;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
2;2021;1;2;D;68.7;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;2;E;68.4;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;2;N;62.9;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;2;T;67.5;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
3;2021;1;2;D;58.1;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;2;E;59;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;2;N;53.5;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;2;T;57.2;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
5;2021;1;2;D;60.9;Barrio del Pilar Parque de La Vaguada, junto nº 42 de Avenida Monforte de Lemos;439689;4481082
5;2021;1;2;E;60.9;Barrio del Pilar Parque de La Vaguada, junto nº 42 de Avenida Monforte de Lemos;439689;4481082
5;2021;1;2;N;57;Barrio del Pilar Parque de La Vaguada, junto nº 42 de Avenida Monforte de Lemos;439689;4481082
5;2021;1;2;T;60;Barrio del Pilar Parque de La Vaguada, junto nº 42 de Avenida Monforte de Lemos;439689;4481082
6;2021;1;2;D;68.1;Gregorio Marañón Frente al nº 51 del Paseo de la Castellana;441413;4476554
6;2021;1;2;E;68.6;Gregorio Marañón Frente al nº 51 del Paseo de la Castellana;441413;4476554
6;2021;1;2;N;61.9;Gregorio Marañón Frente al nº 51 del Paseo de la Castellana;441413;4476554
6;2021;1;2;T;66.9;Gregorio Marañón Frente al nº 51 del Paseo de la Castellana;441413;4476554
8;2021;1;2;D;63.8;Escuelas Aguirre Junto al nº 62 de la Calle Alcalá (dentro del recinto de la Casa Árabe);442117;4474771
8;2021;1;2;E;65;Escuelas Aguirre Junto al nº 62 de la Calle Alcalá (dentro del recinto de la Casa Árabe);442117;4474771
8;2021;1;2;N;58.7;Escuelas Aguirre Junto al nº 62 de la Calle Alcalá (dentro del recinto de la Casa Árabe);442117;4474771
8;2021;1;2;T;63.1;Escuelas Aguirre Junto al nº 62 de la Calle Alcalá (dentro del recinto de la Casa Árabe);442117;4474771
10;2021;1;2;D;63;Cuatro Caminos Frente al nº 18 de la Avenida Pablo Iglesias;440033;4477450
10;2021;1;2;E;62.7;Cuatro Caminos Frente al nº 18 de la Avenida Pablo Iglesias;440033;4477450
10;2021;1;2;N;56.9;Cuatro Caminos Frente al nº 18 de la Avenida Pablo Iglesias;440033;4477450
10;2021;1;2;T;61.7;Cuatro Caminos Frente al nº 18 de la Avenida Pablo Iglesias;440033;4477450
11;2021;1;2;D;67.2;Ramón y Cajal Parque de Berlín, junto al nº 210 de la Calle Príncipe de Vergara;442564;4478089
11;2021;1;2;E;67.1;Ramón y Cajal Parque de Berlín, junto al nº 210 de la Calle Príncipe de Vergara;442564;4478089
11;2021;1;2;N;58.1;Ramón y Cajal Parque de Berlín, junto al nº 210 de la Calle Príncipe de Vergara;442564;4478089
11;2021;1;2;T;65.7;Ramón y Cajal Parque de Berlín, junto al nº 210 de la Calle Príncipe de Vergara;442564;4478089
12;2021;1;2;D;61.3;Manuel Becerra Junto a la entrada del Parque María Eva Duarte De Perón, en la Plaza de Manuel Becerra;443289;4475567
12;2021;1;2;E;60.8;Manuel Becerra Junto a la entrada del Parque María Eva Duarte De Perón, en la Plaza de Manuel Becerra;443289;4475567
12;2021;1;2;N;56.3;Manuel Becerra Junto a la entrada del Parque María Eva Duarte De Perón, en la Plaza de Manuel Becerra;443289;4475567
12;2021;1;2;T;60.1;Manuel Becerra Junto a la entrada del Parque María Eva Duarte De Perón, en la Plaza de Manuel Becerra;443289;4475567
13;2021;1;2;D;55.6;Puente de Vallecas Frente al nº 26 de la Calle del Río San Lorenzo;444702;4471043
13;2021;1;2;E;55.4;Puente de Vallecas Frente al nº 26 de la Calle del Río San Lorenzo;444702;4471043
13;2021;1;2;N;49.1;Puente de Vallecas Frente al nº 26 de la Calle del Río San Lorenzo;444702;4471043
13;2021;1;2;T;54.4;Puente de Vallecas Frente al nº 26 de la Calle del Río San Lorenzo;444702;4471043
14;2021;1;2;D;63.9;Plaza Elíptica Frente al nº 4 de la Avenida de Oporto;438992;4470742
14;2021;1;2;E;63.6;Plaza Elíptica Frente al nº 4 de la Avenida de Oporto;438992;4470742
14;2021;1;2;N;57.5;Plaza Elíptica Frente al nº 4 de la Avenida de Oporto;438992;4470742
14;2021;1;2;T;62.6;Plaza Elíptica Frente al nº 4 de la Avenida de Oporto;438992;4470742
16;2021;1;2;D;60.7;Arturo Soria Frente al nº 2 de la Calle del Vizconde de los Asilos;445786;4476796
16;2021;1;2;E;61.5;Arturo Soria Frente al nº 2 de la Calle del Vizconde de los Asilos;445786;4476796
16;2021;1;2;N;54.1;Arturo Soria Frente al nº 2 de la Calle del Vizconde de los Asilos;445786;4476796
16;2021;1;2;T;59.7;Arturo Soria Frente al nº 2 de la Calle del Vizconde de los Asilos;445786;4476796
17;2021;1;2;D;56.6;Villaverde Frente al nº 61 de la Calle de Palomares;439421;4466532
17;2021;1;2;E;54.6;Villaverde Frente al nº 61 de la Calle de Palomares;439421;4466532
17;2021;1;2;N;48.9;Villaverde Frente al nº 61 de la Calle de Palomares;439421;4466532
17;2021;1;2;T;54.8;Villaverde Frente al nº 61 de la Calle de Palomares;439421;4466532
18;2021;1;2;D;55.2;Farolillo Frente al nº1 de la Calle Farolillo;437892;4471833
18;2021;1;2;E;54.2;Farolillo Frente al nº1 de la Calle Farolillo;437892;4471833
18;2021;1;2;N;46.8;Farolillo Frente al nº1 de la Calle Farolillo;437892;4471833
18;2021;1;2;T;53.6;Farolillo Frente al nº1 de la Calle Farolillo;437892;4471833
19;2021;1;2;D;58.3;Alto de Extremadura Frente al nº 4 de la Calle Hilario Sangrador;437050;4473292
19;2021;1;2;E;57.9;Alto de Extremadura Frente al nº 4 de la Calle Hilario Sangrador;437050;4473292
19;2021;1;2;N;50.8;Alto de Extremadura Frente al nº 4 de la Calle Hilario Sangrador;437050;4473292
19;2021;1;2;T;58;Alto de Extremadura Frente al nº 4 de la Calle Hilario Sangrador;437050;4473292
20;2021;1;2;D;59.4;Avenida de Moratalaz Junto al lateral del nº 109 de la Calle Camino de los Viñateros;445246;4473237
20;2021;1;2;E;60.8;Avenida de Moratalaz Junto al lateral del nº 109 de la Calle Camino de los Viñateros;445246;4473237
20;2021;1;2;N;50.5;Avenida de Moratalaz Junto al lateral del nº 109 de la Calle Camino de los Viñateros;445246;4473237
20;2021;1;2;T;58.3;Avenida de Moratalaz Junto al lateral del nº 109 de la Calle Camino de los Viñateros;445246;4473237
24;2021;1;2;D;49.6;Casa de Campo Mirador junto a la Estación Teleférico Terminal;436599;4474572
24;2021;1;2;E;44.8;Casa de Campo Mirador junto a la Estación Teleférico Terminal;436599;4474572
24;2021;1;2;N;39.5;Casa de Campo Mirador junto a la Estación Teleférico Terminal;436599;4474572
24;2021;1;2;T;47.4;Casa de Campo Mirador junto a la Estación Teleférico Terminal;436599;4474572
25;2021;1;2;D;67;Santa Eugenia Parque junto al nº 1 de la Calle Poza de la Sal;448853;4470004
25;2021;1;2;E;67.2;Santa Eugenia Parque junto al nº 1 de la Calle Poza de la Sal;448853;4470004
25;2021;1;2;N;60.7;Santa Eugenia Parque junto al nº 1 de la Calle Poza de la Sal;448853;4470004
25;2021;1;2;T;65.8;Santa Eugenia Parque junto al nº 1 de la Calle Poza de la Sal;448853;4470004
26;2021;1;2;D;59.9;Embajada Parque junto al nº 2 de la Calle Soto Hidalgo;450804;4478900
26;2021;1;2;E;58.5;Embajada Parque junto al nº 2 de la Calle Soto Hidalgo;450804;4478900
26;2021;1;2;N;53.8;Embajada Parque junto al nº 2 de la Calle Soto Hidalgo;450804;4478900
26;2021;1;2;T;58.4;Embajada Parque junto al nº 2 de la Calle Soto Hidalgo;450804;4478900
27;2021;1;2;D;56.8;Barajas Pueblo Frente al nº 21 de la Calle Júpiter;450835;4480854
27;2021;1;2;E;54.7;Barajas Pueblo Frente al nº 21 de la Calle Júpiter;450835;4480854
27;2021;1;2;N;49.8;Barajas Pueblo Frente al nº 21 de la Calle Júpiter;450835;4480854
27;2021;1;2;T;55.1;Barajas Pueblo Frente al nº 21 de la Calle Júpiter;450835;4480854
28;2021;1;2;D;67.1;Cuatro Vientos Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;433969;4469692
28;2021;1;2;E;65.6;Cuatro Vientos Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;433969;4469692
28;2021;1;2;N;57.9;Cuatro Vientos Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;433969;4469692
28;2021;1;2;T;65.3;Cuatro Vientos Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;433969;4469692
29;2021;1;2;D;56.2;El Pardo Parque del Concejal Miguel Martín Vela;434382;4485549
29;2021;1;2;E;57.3;El Pardo Parque del Concejal Miguel Martín Vela;434382;4485549
29;2021;1;2;N;47;El Pardo Parque del Concejal Miguel Martín Vela;434382;4485549
29;2021;1;2;T;55;El Pardo Parque del Concejal Miguel Martín Vela;434382;4485549
30;2021;1;2;D;57.3;Campo de las Naciones Frente al nº 27 de la Calle Ribera del Sena;447744;4479078
30;2021;1;2;E;55.1;Campo de las Naciones Frente al nº 27 de la Calle Ribera del Sena;447744;4479078
30;2021;1;2;N;54.5;Campo de las Naciones Frente al nº 27 de la Calle Ribera del Sena;447744;4479078
30;2021;1;2;T;56.2;Campo de las Naciones Frente al nº 27 de la Calle Ribera del Sena;447744;4479078
31;2021;1;2;D;64.8;Sanchinarro Junto al nº 14 de la Calle María Tudor;444027;4482821
31;2021;1;2;E;64.9;Sanchinarro Junto al nº 14 de la Calle María Tudor;444027;4482821
31;2021;1;2;N;50.8;Sanchinarro Junto al nº 14 de la Calle María Tudor;444027;4482821
31;2021;1;2;T;63.1;Sanchinarro Junto al nº 14 de la Calle María Tudor;444027;4482821
