id_estacion,nombre_estacion,barrio,id_barrio,distrito,id_distrito,orden_paradas,trafico,longitud,latitud
0,Opera,PALACIO,11,CENTRO,1,14,14.850.637,40.418,-3.709
1,Chueca,JUSTICIA,14,CENTRO,1,18,3.039.046,40.422,-3.697
2,Callao,SOL,16,CENTRO,1,5,15.303.823,40.42,-3.705
3,Sol,SOL,16,CENTRO,1,15,49.567.085,40.416,-3.7
4,Bilbao,JUSTICIA,14,CENTRO,1,12,8.467.553,40.429,-3.702
5,Noviciado,UNIVERSIDAD,15,CENTRO,1,16,3.478.374,40.424,-3.707
6,Tirso de Molina,EMBAJADORES,12,CENTRO,1,16,5.317.945,40.412,-3.7
7,Banco de Espa̱a,CORTES,13,CENTRO,1,11,3.745.138,40.491,-3.69
8,Embajadores,EMBAJADORES,12,CENTRO,1,8,8.490.055,40.404,-3.702
9,Tribunal,JUSTICIA,14,CENTRO,1,13,13.521.895,40.426,-3.7
10,Santo Domingo,UNIVERSIDAD,15,CENTRO,1,15,1.957.718,40.412,-3.707
11,Anton Martin,EMBAJADORES,12,CENTRO,1,17,3.642.276,40.412,-3.699
12,Sevilla,CORTES,13,CENTRO,1,12,1.661.555,40.417,-3.699
13,Gran Via,SOL,16,CENTRO,1,14,7.180.340,40.419,-3.701
14,Ventura rodriguez,UNIVERSIDAD,15,CENTRO,1,3,2.143.241,40.438,-3.713
15,Lavapies,EMBAJADORES,12,CENTRO,1,7,5.080.616,40.408,-3.7
16,La Latina,PALACIO,11,CENTRO,1,14,4.441.399,40.411,-3.708
17,Puerta de Toledo,ACACIAS,22,ARGANZUELA,2,13,2.404.201,40.406,-3.71
18,Acacias,ACACIAS,22,ARGANZUELA,2,12,2.999.357,40.403,-3.7
19,Legazpi,LEGAZPI,24,ARGANZUELA,2,11,18.313.451,40.391,-3.695
20,Piramides,CHOPERA,23,ARGANZUELA,2,11,2.216.934,40.401,-3.71
21,Delicias,DELICIAS,25,ARGANZUELA,2,10,4.767.471,40.399,-3.694
22,Mendez Alvaro,LEGAZPI,24,ARGANZUELA,2,21,8.974.299,40.395,-3.678
23,Palos de la Frontera,PALOS DE LA FRONTERA,26,ARGANZUELA,2,9,3.471.551,40.402,-3.693
24,Arganzuela-Planetario,LEGAZPI,24,ARGANZUELA,2,22,1.556.334,40.393,-3.68
25,Atocha,ATOCHA,27,ARGANZUELA,2,19,11.088.992,40.406,-3.689
26,Menendez Pelayo,PACIFICO,31,RETIRO,3,20,2.819.370,40.404,-3.68
27,Ibiza,IBIZA,34,RETIRO,3,15,2.428.457,40.418,-3.678
28,Pacifico,PACIFICO,31,RETIRO,3,21,18.460.266,40.401,-3.674
29,Conde de Casal,RETIRO,33,RETIRO,3,19,6.661.469,40.407,-3.669
30,Estrella,ESTRELLA,33,RETIRO,3,17,2.531.558,40.411,-3.661
31,O'Donnell,IBIZA,34,RETIRO,3,17,5.222.459,40.422,-3.668
32,Estacion del Arte,JERONIMOS,35,RETIRO,3,18,3.000.335,40.409,-3.692
33,Retiro,LOS JERONIMOS,35,RETIRO,3,10,3.612.177,40.42,-3.685
34,Sainz de Baranda,ESTRELLA,33,RETIRO,3,18,9.768.952,40.414,-3.669
35,Principe de Vergara,GOYA,42,SALAMANCA,4,9,8.324.742,40.423,-3.679
36,Manuel Becerra,GUINDALERA,44,SALAMANCA,4,7,9.284.711,40.427,-3.669
37,Goya,GOYA,42,SALAMANCA,4,8,11.522.464,40.424,-3.675
38,Diego de Leon,LISTA,45,SALAMANCA,4,10,14.502.699,40.434,-3.675
39,Lista,LISTA,45,SALAMANCA,4,9,1.967.919,40.429,-3.675
40,Colon,RECOLETOS,41,SALAMANCA,4,5,1.301.327,40.425,-3.69
41,Parque de las Avenidas,GUINDALERA,44,SALAMANCA,4,16,1.823.405,40.394,-3.662
42,Serrano,RECOLETOS,41,SALAMANCA,4,6,3.148.887,40.425,-3.686
43,Nunez de Balboa,CASTELLANA,46,SALAMANCA,4,21,7.850.348,40.423,-3.683
44,Velazquez,CASTELLANA,46,SALAMANCA,4,7,2.662.973,40.425,-3.68
45,Ventas,GUINDALERA,44,SALAMANCA,4,6,6.716.718,40.431,-3.66
46,Republica Argentina,EL VISO,51,CHAMARTIN,5,13,1.988.646,40.445,-3.685
47,Avenida de America,PROSPERIDAD,52,CHAMARTIN,5,11,35.284.265,40.438,-3.676
48,Duque de Pastrana,CASTILLA,56,CHAMARTIN,5,7,757.599,40.467,-3.679
49,Prosperidad,PROSPERIDAD,52,CHAMARTIN,5,12,2.743.690,40.444,-3.67
50,Avenida de la Paz,CIUDAD JARDIN,53,CHAMARTIN,5,14,1.338.149,40.453,-3.66
51,Cruz del Rayo,EL VISO,51,CHAMARTIN,5,11,1.676.629,40.444,-3.678
52,Bambu,CASTILLA,56,CHAMARTIN,5,2,1.220.848,40.476,-3.676
53,Concha Espina,EL VISO,51,CHAMARTIN,5,10,2.015.704,40.45,-3.678
54,Colombia,HISPANOAMERICA,54,CHAMARTIN,5,7,8.798.480,40.457,-3.676
55,Pio XII,NUEVA ESPANA,55,CHAMARTIN,5,8,1.908.982,40.462,-3.676
56,Santiago Bernabeu,EL VISO,51,CHAMARTIN,5,17,4.784.869,40.452,-3.69
57,Plaza de Castilla,CASTILLA,56,CHAMARTIN,5,4,25.135.236,40.466,-3.689
58,Alfonso XIII,PROSPERIDAD,52,CHAMARTIN,5,13,3.454.694,40.448,-3.66
59,Chamartin,CASTILLA,56,CHAMARTIN,5,3,8.797.197,40.472,-3.68
60,Cartagena,PROSPERIDAD,52,CHAMARTIN,5,15,1.949.194,40.393,-3.672
61,Alvarado,BELLAS VISTAS,61,TETUAN,6,8,3.173.254,40.45,-3.7
62,Valdeacederas,VALDEACEDERAS,65,TETUAN,6,5,3.877.235,40.644,-3.69
63,Nuevos Ministerios,CUATRO CAMINOS,62,TETUAN,6,12,29.885.885,40.446,-3.691
64,Ventilla,ALMENARA,64,TETUAN,6,5,1.828.377,40.469,-3.695
